"acc_id","survival_time","amount_spent","churn","payment","first_week"
2,64,0,0,0,1
5,60,0,1,0,2
8,64,0.0203100393515694,0,1,1
17,64,0.0706421885685443,0,1,1
20,64,0.0521367569138026,0,1,1
21,64,0.18426685137062,0,1,1
31,45,0.0513164806879718,1,1,1
38,64,0.517167754861772,0,1,1
41,3,0,1,0,4
43,64,0.356196748304745,0,1,1
50,64,0,0,0,1
53,64,0.0171601786443793,0,1,1
54,50,0.0590598882598141,1,1,1
59,64,0,0,0,1
62,13,0.416437834329756,1,1,1
63,22,0.0678532494007198,1,1,1
65,64,0,0,0,1
66,42,0.0337625694551937,1,1,1
67,64,0.230858540997807,0,1,1
69,64,0.0304486535028375,0,1,1
75,15,0,1,0,1
76,64,0,0,0,1
77,64,0,0,0,1
79,64,0,0,0,1
81,64,0.216848223060617,0,1,1
86,64,0.0360921539365531,0,1,1
91,64,0.488064354369297,0,1,1
92,64,0,0,0,1
97,64,0,0,0,1
98,64,0.183741874586088,0,1,1
100,14,0,1,0,2
113,64,0.08685084679096,0,1,1
119,29,0,1,0,1
125,13,0,1,0,2
129,64,0.111491944614916,0,1,1
133,64,0.166253585451377,0,1,1
137,64,0,0,0,1
138,37,0.351767256685259,1,1,1
140,64,0,0,0,2
145,64,0.261504060794844,0,1,1
147,3,0,1,0,4
149,64,0.238273838079317,0,1,1
154,2,0.0492165735498451,1,1,1
155,64,0,0,0,1
158,14,0,1,0,2
160,46,0.119497840579024,1,1,1
161,57,0.0353374998087888,1,1,1
163,64,0.038651415761145,0,1,1
172,64,0,0,0,1
173,64,0.281059446018649,0,1,1
174,64,0.144368615746212,0,1,1
176,8,0,1,0,1
180,64,0,0,0,1
181,22,0.016405524516615,1,1,1
186,64,0.0895741638607181,0,1,1
192,2,0.16405524516615,1,1,4
194,50,0.0458698465484556,1,1,4
203,27,0,1,0,1
204,21,0.156246215496242,1,1,1
205,64,0,0,0,1
207,64,0.329685420685896,0,1,1
209,64,0,0,0,1
212,64,0.165498931323612,0,1,4
213,1,0.682141709400853,1,1,4
215,36,0,1,0,1
216,5,0,1,0,1
217,19,0.118119776519628,1,1,1
218,57,0.0170945565463129,1,1,1
219,19,0,1,0,1
223,64,0.0152243267514187,0,1,1
226,64,0.160839762360894,0,1,1
232,64,0.155557183466544,0,1,1
247,64,0.245918812504059,0,1,1
250,64,0,0,0,1
251,53,0.0685422814304176,1,1,1
253,64,0.0458370354994224,0,1,1
255,20,0.163891189920984,1,1,3
257,64,0.0985972023448563,0,1,1
260,64,0.0089574163860718,0,1,2
262,29,0.067886060449753,1,1,1
266,64,0.0922646698814429,0,1,1
268,57,0.189779107608203,1,1,3
273,64,0.0909522279201137,0,1,1
276,19,0,1,0,1
280,64,0,0,0,1
281,7,0,1,0,1
283,64,0.324468463889612,0,1,1
284,4,0,1,0,1
287,64,0.112016921399447,0,1,1
288,64,0.0461323349407215,0,1,3
289,64,0.093281812401473,0,1,4
295,64,0.0350422003674897,0,1,1
298,1,0.974488156286933,1,1,4
299,64,0,0,0,1
305,25,0,1,0,1
308,64,0.032089205954499,0,1,1
309,64,0.271741108093211,0,1,1
310,64,0.364202644268854,0,1,1
311,64,0.194241410276722,0,1,1
326,22,0,1,0,1
327,4,0,1,0,2
328,64,0,0,0,1
330,14,0,1,0,2
334,64,0.00508571260015066,0,1,1
335,64,0.0776965641106888,0,1,1
337,64,0.0152243267514187,0,1,1
340,64,0.00308423860912363,0,1,1
341,64,0.0486587857162802,0,1,1
344,64,0,0,0,1
345,64,0.0209990713812672,0,1,4
347,64,0.0257238624420524,0,1,1
350,64,0.358001356001573,0,1,1
352,64,0.0223443243916297,0,1,1
358,64,0.104864112710203,0,1,1
362,64,0,0,0,1
365,64,0,0,0,1
368,64,0,0,0,2
371,64,0.355507716275048,0,1,1
372,53,0.00741529708150999,1,1,1
373,4,0,1,0,1
390,64,0,0,0,1
391,64,0.0376342732411149,0,1,1
393,64,0.0152243267514187,0,1,1
396,64,0,0,0,1
400,5,0,1,0,1
403,28,0.0718233863337406,1,1,1
404,29,0,1,0,1
405,64,0,0,0,1
409,10,0,1,0,1
411,61,0.261536871843877,1,1,1
413,29,0,1,0,1
420,52,0.109556092721955,1,1,3
423,4,0,1,0,1
425,29,0,1,0,1
426,6,0,1,0,1
429,16,0,1,0,1
446,64,0.0456729802542562,0,1,1
449,36,0,1,0,1
456,22,0.133344103271047,1,1,1
458,64,0,0,0,1
462,64,0.0739561045209005,0,1,1
473,64,0,0,0,1
474,64,0,0,0,1
475,7,0,1,0,1
476,64,0.0360921539365531,0,1,1
484,20,0.0487244078143466,1,1,1
487,7,0,1,0,1
488,64,0.220654304748472,0,1,1
492,64,0,0,0,1
494,64,0,0,0,1
506,10,0.114838671616305,1,1,1
510,64,0.131080140887754,0,1,1
523,64,0.0371092964565832,0,1,1
525,22,0.238634759618682,1,1,1
526,64,0.0281846911195446,0,1,1
527,64,0,0,0,1
528,64,0.0833072534953711,0,1,1
532,64,0.118021343372529,0,1,1
536,45,0,1,0,2
538,64,0.235648954156658,0,1,1
541,64,0.0545319634932283,0,1,1
542,64,0,0,0,1
546,64,0,0,0,1
550,64,0,0,0,1
555,64,0.0764825552964593,0,1,1
556,64,0.0470182332646187,0,1,1
560,64,0,0,0,4
561,38,0.622294355964241,1,1,1
562,52,0.0125338207306939,1,1,1
563,64,0.248642129573817,0,1,1
571,64,0.0306127087480036,0,1,1
574,64,0,0,0,1
582,64,0,0,0,1
597,22,0,1,0,1
598,64,0,0,0,1
604,64,0.0540397977577299,0,1,1
606,64,0.270363044033816,0,1,1
611,64,0.171404920149594,0,1,1
612,21,0,1,0,1
619,64,0.628233155839256,0,1,1
623,51,0.0870805241341926,1,1,1
625,64,0.211139100528835,0,1,1
632,64,0,0,0,1
633,37,0.271741108093211,1,1,1
635,29,0,1,0,1
636,64,0.00101714252003013,0,1,1
637,64,0,0,0,1
644,8,0,1,0,1
648,5,0,1,0,1
652,64,0.00915428268027118,0,1,1
656,64,0.370305499389034,0,1,1
661,8,0,1,0,1
663,2,0.0492165735498451,1,1,1
665,64,0,0,0,1
667,64,0,0,0,1
668,64,0.0412106775857369,0,1,1
674,64,0.075727901168695,0,1,1
677,64,0.109720147967121,0,1,1
678,64,0,0,0,1
687,64,0.296447828015234,0,1,1
689,55,0.0713968426963086,1,1,1
691,19,0.00344516014848916,1,1,1
695,64,0.12484604157144,0,1,1
696,11,0.209990713812672,1,1,1
697,64,0.223935409651795,0,1,1
698,11,0,1,0,1
699,64,0,0,0,1
701,64,0,0,0,1
705,64,0.230103886870042,0,1,1
710,64,0.0280862579724449,0,1,1
711,12,0,1,0,1
712,64,0.164219300411316,0,1,1
714,64,0.154047875211015,0,1,1
722,64,0.0417684654193019,0,1,1
729,34,0.0308751971402695,1,1,1
730,64,0.0460010907445885,0,1,1
731,8,0,1,0,1
735,64,0.0747763807467313,0,1,1
736,21,0,1,0,1
737,64,0,0,0,1
744,58,0.0282831242666443,1,1,4
745,13,0,1,0,1
748,40,0.0487244078143466,1,1,1
753,8,0,1,0,1
758,21,0.0265769497169163,1,1,1
760,3,0,1,0,4
762,29,0.0335985142100276,1,1,1
765,22,0,1,0,3
766,64,0.0612582285450405,0,1,4
768,64,0.0212287487244998,0,1,1
775,64,0,0,0,1
777,12,0,1,0,1
778,64,0,0,0,1
783,8,0,1,0,1
784,36,0,1,0,1
785,1,0,1,0,1
787,64,0,0,0,1
792,19,0.125895995140504,1,1,1
794,64,0.051480535933138,0,1,1
795,64,0.318824963455896,0,1,1
797,64,0.364891676298551,0,1,1
799,4,0,1,0,1
800,64,0.093413056597606,0,1,1
804,64,0.0916412599498115,0,1,1
805,64,0,0,0,1
811,64,0.0360921539365531,0,1,1
812,64,0,0,0,1
813,64,0.110310746849719,0,1,2
817,64,0,0,0,1
819,64,0.267278805424692,0,1,1
820,46,0.0466245006762199,1,1,1
826,58,0.0435730731161295,1,1,1
833,11,0,1,0,1
839,64,0.113559040704009,0,1,1
848,46,0.0171273675953461,1,1,1
849,25,0.233614669116598,1,1,1
850,10,0,1,0,1
856,64,0.0104667246416004,0,1,1
858,1,0,1,0,1
862,3,0,1,0,4
868,64,0.116151113577634,0,1,1
875,64,0,0,0,1
878,17,0,1,0,1
880,64,0.313804872953812,0,1,1
881,64,0.136920507615669,0,1,1
882,17,0,1,0,1
883,64,0.0535148209731982,0,1,1
899,64,0,0,0,1
900,64,0.315839157993873,0,1,1
906,64,0.0360921539365531,0,1,1
908,64,0.0360921539365531,0,1,1
912,64,0,0,0,1
924,64,0.0304486535028375,0,1,1
929,64,0,0,0,1
932,57,0.054335097199029,1,1,2
935,32,0.00915428268027118,1,1,1
941,64,0.150963636601891,0,1,1
944,62,0.0319579617583661,1,1,1
945,39,0.0560740827977902,1,1,1
951,63,0.0206381498419017,1,1,1
955,11,0.223705732308562,1,1,1
956,64,0.0721843078731061,0,1,1
957,17,0,1,0,1
964,64,0.0376342732411149,0,1,1
967,17,0,1,0,1
968,64,0,0,0,1
969,12,0,1,0,1
973,64,0.300713264389553,0,1,1
981,64,0.0458370354994224,0,1,1
983,3,0,1,0,4
984,48,0.0481338089317485,1,1,3
988,64,0.0257238624420524,0,1,1
989,64,0.00255926182459194,0,1,1
992,64,0,0,0,1
998,1,0,1,0,1
1001,8,0.12179461401135,1,1,1
1005,64,0.29214958059188,0,1,1
1007,64,0.0684766593323511,0,1,1
1015,64,0.206086198977718,0,1,1
1017,64,0.443047595095705,0,1,1
1021,15,0.00656220980664601,1,1,1
1022,13,0,1,0,1
1023,64,0.242342408159437,0,1,1
1026,54,0,1,0,3
1029,20,0.0863586810554615,1,1,4
1033,64,0.25832138903862,0,1,1
1034,64,0.0360921539365531,0,1,1
1037,46,0.0211959376754666,1,1,1
1038,64,0,0,0,1
1049,13,0.201525463162099,1,1,2
1050,64,0.0542694751009625,0,1,1
1055,26,0.0795011718075164,1,1,1
