"acc_id","char_id","acc_day_cnt","char_day_cnt","char_cnt","playtime","total_exp","npc_kill","rich_monster","death","fishing","private_shop","game_money_down","game_money_up","enchant_count"
2,233598,28,28,1,91.533673,0,0,0,0,0,84.900753,-2.032475479,2.023729519,0
8,257304,24,18,7,10.507200601,2.75285079721587,11.439611083,0,0.491767,2.3408503,0,-0.5620838381,0.5774999056,0
17,135044,26,18,4,25.2135372,1.17351263415035,29.543062702,16,0.983534,12.970155816,0,-0.2327358109,0.2081108532,0
20,149667,27,27,2,22.608391106,0.267584526794163,34.082948793,8,0.9835338,4.2957655,0,-4.4505117351,4.07927287656,0
31,346526,28,28,2,81.801222,0.29865079059007,65.598568,0,1.4753008,0,0,-0.68721282,0.738179443,0
38,67497,27,27,2,68.623330615,0.160498822125515,82.21204124,9,0,26.21920072184,0,-0.6305014388,0.7911544,0
43,388134,27,27,2,4.976233096,1.2198223811737,27.1325351821,7,0,1.26352485,0,-0.1874642237,0.005153465,0
50,78995,26,26,1,77.723805,0,0,0,0,0,75.4029203,-0.2501573155,0.2616271707,0
53,60446,7,1,3,88.893402921,1.31747026955626,108.1229207421,6,2.7047183,0,0.1290481,-4.18958254,3.22762234,0
59,394351,28,28,1,91.37451,0,0,0,0,0,84.025705,-1.724110564,1.58644852,0
62,369719,28,28,8,37.1602418,55.1326144148968,30.60013829,9,0.7376505,6.688149064,0,-2.0751073601,2.1071510886,0
65,270517,28,21,3,22.17771,0,0,0,0,0,20.7899729,-6.1341956,6.1341956,0
66,127862,28,28,2,37.4926161,0.397811551148213,28.3440507811,4,0.491767,20.783693,0,-2.3853115078,2.6295113973,0
67,267831,26,26,3,17.000178936,0.0688102607208065,36.684750553,12,41.5543049,0.323751664,0,-5.192812215,4.59356991,0
69,350040,27,13,6,21.278895,0.39736040464399,37.7556812,3,2.2129514,4.273373,0,-0.387997302,0.299369855,0
75,352821,27,21,7,4.6415191,0.277983559388586,1.0337587511,0,0,2.33546651,0,-0.0093789648,0.0049341721,0
76,280717,28,28,1,91.084268,0,0,0,0,0,0,0,0,0
77,22622,28,28,1,91.081926,0,0,0,0,0,0,0,0,0
79,225036,28,28,3,31.4981948,0,0,0,0,0,28.7909566,-5.1002871094,5.1002872,0
81,297398,27,3,11,40.029883,30.1341934210156,43.2103754,24,0.491767,15.09652314,0,-0.432221518,1.040966623,0
86,29793,28,28,1,91.245773,0,0,0,0,0,85.328663,-13.147900086,12.60769061,0
91,320252,28,3,5,60.414650936,0.198024639684476,41.367247312,8,0.2458835,27.06070514,0,-3.60816971817,1.7403257653,0
92,219750,28,28,1,88.933199,1.52992274856693,0,0,5.4094366,0,0,-0.03504568898,0.03267007,0
97,120776,28,28,1,91.079587,0,0,0,0,0,88.036763,-1.8054052079,1.968999342,0
98,205300,17,4,3,80.79942,0.468010045115163,94.0058152,12,8.6059205,20.41613166,0.003979114,-1.867056285,0.763241034,0
113,52943,10,1,3,12.79168118,0.275489028937188,24.86461851,8,0.983534,2.7434821,0,-0.1363718394,0.0548123241,20.98287
119,136814,28,28,1,84.507018,5.35791651885759,0,0,20.162445,0,0,-0.05002590944,0.03987136863,0
