"acc_id","char_id","playtime"
2,233598,91.533673
8,257304,10.507200601
17,135044,25.2135372
20,149667,22.608391106
31,346526,81.801222
38,67497,68.623330615
43,388134,4.976233096
50,78995,77.723805
53,60446,88.893402921
59,394351,91.37451
62,369719,37.1602418
65,270517,22.17771
66,127862,37.4926161
67,267831,17.000178936
69,350040,21.278895
75,352821,4.6415191
76,280717,91.084268
77,22622,91.081926
79,225036,31.4981948
81,297398,40.029883
86,29793,91.245773
91,320252,60.414650936
92,219750,88.933199
97,120776,91.079587
98,205300,80.79942
113,52943,12.79168118
119,136814,84.507018
129,148992,89.342816
137,345689,31.5660761
145,168571,8.27889748
149,248148,43.8591973
154,142043,12.18311049
155,89374,79.9403968
161,169821,14.1820308
163,179915,39.7279423
172,277012,88.296545
173,247626,14.49333817
174,142049,38.770612
176,131026,28.935180166
181,182219,12.241627381
186,10418,59.6539418
203,145563,15.2844779
204,199625,19.50234135
207,149549,7.62351486
209,267008,90.12694
215,250024,41.5840777
216,368425,87.498381
217,36613,39.3885452
223,296468,18.82822974
226,126508,14.9755116
232,69843,23.6335959
247,279134,86.098668
250,78425,79.072015
257,308364,58.6872521
262,261572,71.3595595
266,176799,55.0990252
273,268403,39.81220658
276,195617,5.66906693
280,81092,91.479838
283,359366,26.6507003
284,331903,38.97191006
295,23533,5.65034154
299,18003,90.115236
309,262604,72.096864154095
310,285881,77.66762475
311,357689,67.59578423
326,156952,24.6283735
328,58694,88.156096
334,333893,7.738206056
335,29166,60.3631622
337,25065,63.195352
340,224319,38.393766
341,285779,14.3411944
344,17411,89.761798
347,312502,38.47100886
350,92896,54.5396076545696
352,263249,17.7093977
358,361932,18.92185684
362,195209,90.115236
365,397111,5.6152321
371,234977,45.6193691206013
390,223300,12.82913091
391,346391,4.77727731
393,122788,90.777642
396,77425,6.8557792
400,225417,91.643684
403,61275,20.21623903
404,279455,4.044652189
405,219467,90.894674
409,29301,25.5271875
411,60979,7.796722698
413,389632,89.047896
423,342598,87.659879
425,76823,82.0189047
446,118751,78.3745
456,393229,12.88296607
458,37082,86.318684
462,268345,14.9965774
473,83190,4.92473852
474,261589,12.86189981
475,77017,21.3865667
476,115356,91.620278
484,213270,15.20723641
487,342760,39.8145451
488,383888,61.8307526
492,226981,91.552398
494,36688,7.85757944
510,268018,42.447784336
523,242955,10.97299169
526,341038,83.1190097
527,165554,91.657728
528,208323,11.86243976
532,303675,31.2383842
538,300207,42.23010157
541,43839,32.9189752
542,80435,90.824451
546,263905,86.365499
550,82328,89.714985
555,355148,37.125132
556,290726,28.424918532
561,57728,29.8035625
562,128194,26.0655358
563,342836,25.602087246
571,178596,18.240726921
574,51601,90.082468
582,171175,6.93068018
597,23411,14.66888682
598,6444,90.183115
606,32939,49.8161670183868
611,110818,11.71965988
619,290981,38.599746435
623,214488,19.90961331
625,226822,37.7360422
632,103130,4.77727761
633,137044,22.6786066
635,346021,87.135575
636,32547,86.38657
637,204041,22.1987738690697
644,182658,5.50053965
648,1206,3.623334071
652,230120,48.99927804
656,283297,27.2826792
661,105801,82.0048554
663,191582,3.482894905
665,275402,89.560498
667,304546,88.546993
668,263114,13.25747058
674,261646,22.87054311
677,127116,17.4449039
678,383916,76.9560706
687,123574,61.833089771
691,395564,15.869641926
695,356968,50.6213516
696,319184,15.73622404
697,43957,31.34137524
698,393427,91.547718
699,309150,91.416641
701,19268,85.560315
705,91391,21.50828006
710,289521,32.10910752
711,266218,89.6377424
712,170844,31.12603252
714,238066,85.53222283
722,331329,19.8136459485329
729,316275,11.72902234
730,66525,24.9537252
731,24310,82.0844399
735,254568,42.6654643041623
736,386071,3.15754379
737,281366,88.364426
745,299097,13.71624
748,38381,84.991535
753,370740,88.874679
758,249045,8.068238916
762,14175,75.07886166
768,89444,65.27151719
775,82796,6.90493295
777,222798,10.34569639
778,205390,86.466145
783,71262,89.024483
784,88351,41.2048966
785,330733,21.370182551
787,27983,91.030433
792,185933,47.41699773
794,4143,51.7191174
795,65898,26.671766117
797,5172,42.8737828
799,386609,88.359737
800,225147,51.700392175
805,338925,45.28466128
811,272210,91.634322
812,54774,12.6325162
817,32342,88.518904
819,251835,69.43319451
820,106940,32.9587665
826,359369,7.707777431
833,249406,35.3509136
839,334476,37.487932027524
848,104182,79.9591252
849,329290,52.25044809
850,181063,26.6553837
856,250855,20.1624037
868,336500,28.8228279
875,386402,13.6507011
878,8298,27.334172
880,62978,83.32966967
881,24650,83.324983
882,13653,26.6436785
883,354242,28.7572907
899,140442,25.5552722
900,321396,10.2520702
906,392506,38.6676233
908,317606,86.693192
912,143399,88.694456
924,346530,62.680409
929,70276,90.112896
935,46564,57.58246314
941,196435,29.0124215
944,374353,14.10947
945,323791,82.145301
955,196845,18.34839519
956,173727,21.433379466
957,2979,37.57687839
964,286461,79.33416558
967,277110,36.14439738
968,266682,80.7783598
973,225033,19.32211
981,337058,24.274936
989,158287,15.01998365
992,365004,89.759451
1001,4281,84.9517472
1005,177760,71.02718193
1007,321682,15.258730538
1015,160977,21.21803938
1017,246664,87.086422
1021,281097,33.6750016
1022,154848,26.18022966
1023,275805,85.267735
1033,90359,16.3284107542067
1034,10114,91.428345
1037,134607,82.7468522
1038,147356,11.74072568
1050,320209,60.4614653
1055,27559,14.987214412
1056,383539,7.749909655
1061,48026,11.712639186
1064,319950,9.025566056
1082,21407,43.9434604
1086,221742,27.149260252
1092,140550,91.639004
1109,270874,90.105871
1110,368270,83.303921
1112,295741,22.610729176
1113,24282,91.301948
1122,363407,6.7879003
1133,78007,81.5086359
1138,183917,19.96344809
1144,107479,88.5142261087852
1145,344101,29.45948806
1146,46825,57.7954607
1150,80061,45.9283368
1153,211154,16.05455346
1156,37554,9.83543339
1163,232938,5.30626542
1168,176333,87.013857
1170,204839,3.9954985
1183,152030,12.8478565
1184,120357,64.6465564
1192,280618,13.3674818
1193,300654,53.446521
1197,167448,80.2493632
1201,215055,39.028085845
1208,212299,2.527907855
1218,311831,91.617937
1223,215209,55.57417686
1229,193954,28.45300571
1240,316049,74.55220789
1241,113798,29.3190486
1252,203731,13.388547816
1256,218528,24.0993852
1270,151490,7.806084841
1273,22098,37.427078
1274,364781,34.26953341
1276,318921,28.8766628
1282,164300,77.040329
1284,160706,36.28717805
1287,237039,14.01116187
1288,171611,82.3489345
1289,257923,83.044109
1291,26170,77.69805702
1295,123947,20.429239181
1299,135552,7.8903487
1307,126475,91.437707
1311,103254,21.4801926
1313,222703,50.4387792
1316,386386,6.65214251
1318,312075,3.89016903
1329,67768,33.5088199
1330,360222,64.197154
1333,374866,5.6503416
1334,26191,84.109108
1338,332372,17.861540185
1339,38957,88.092905
1340,227118,12.51080205
1341,233747,32.12315091
1342,193248,35.2713337
1357,266087,19.12549266
1359,327568,9.15898429
1362,323760,31.57544
1370,132382,43.8428117
1374,303554,22.739465
1375,248640,4.5759807
1379,347731,91.426004
1384,10008,85.134317
1388,354583,86.4872203
1390,60711,39.1732065
1397,47977,90.693374
1405,361199,78.5874987
1413,13098,32.9119518
1414,227409,17.938782346
1419,344736,9.38368706
1420,179293,26.348755606
1423,272274,2.644940306
1431,290039,89.012779
1437,338948,71.4110534
1441,58905,13.8519974
1442,314948,39.3627977
1450,5214,53.015845
1459,364623,90.101183
1463,67061,91.40962
1467,386335,40.8280489
1474,192719,18.8961096
1475,120849,89.569859
1476,296902,84.2050774
1480,313942,15.8251702733209
1483,133760,7.2677346
1487,391795,26.55239313
1500,145784,73.730639
1501,65418,4.08678361
1506,137179,26.9198743
1507,82057,17.7491877159783
1510,351821,86.0729195
1511,182099,91.09363
1516,278588,91.374509
1518,274639,9.1519618
1521,193142,63.9911742
1522,156901,11.3849464
1523,267165,40.788255
1530,226619,89.288978
1532,1055,5.1939138
1534,83481,24.633056
1535,127355,4.194454216
1537,181208,36.94958195
1538,101186,87.2877177996443
1539,255367,34.28357715
1542,312534,22.7979829
1550,62908,9.2292035
1552,184441,27.736765341
1553,240233,26.2832182
1556,86307,37.9349983
1557,341257,67.22127802
1563,393626,41.2657536
1565,45045,89.40835
1586,267990,14.373962426
1589,129298,91.547718
1596,9253,7.689052818
1599,315316,30.65555976
1607,27361,4.86154083
1613,384929,87.493702
1615,313557,7.29348203
1618,167498,24.4177153
1623,179748,33.110906951
1629,228312,15.317247037307
1633,65954,3.28862049
1638,357184,87.879906
1639,296681,66.31544493
1644,360543,35.5358261
1654,169276,86.14079673
1658,395143,82.765569
1659,98400,18.2734937
1666,34794,10.144400145
1667,367338,14.0720183
1669,203445,45.2893390649236
1673,111509,15.4038512
1674,6620,80.5700355
1676,81562,57.83993196
1678,200509,76.31472482
1688,180760,21.5270066
1690,246564,0.571119962
1691,52179,14.85847884
1696,105230,91.646025
1700,253845,20.0032399
1703,138687,89.190675
1707,70645,84.4555282
1709,29374,76.3779237
1710,11492,90.1854538048169
1711,94590,52.536005
1712,369946,87.615412
1721,355618,37.28429707
1722,113425,9.44922521
1724,48977,34.8195858
1727,395132,40.3716236
1728,389374,82.505764
1732,86454,89.677531
1733,364334,44.2851948
1735,288145,29.07327769
1736,229400,7.3871076
1738,330950,85.806087
1743,138808,37.33579145
1748,14326,91.007026
1764,56884,89.3170669104501
1768,372058,40.526103
1770,339068,22.09110367
1775,88188,4.4800139
1779,268746,89.904564126
1783,105324,15.83219186
1785,45451,90.552939
1790,372097,90.534209
1804,113644,70.177529515
1806,189962,82.6953573
1807,103589,89.839038
1813,245289,26.19427404
1814,112741,67.6964319
1817,289454,41.03168562
1818,372479,14.54717174
1820,364895,90.0356538074032
1830,256912,80.9117774
1833,148461,91.388554
1834,12732,91.077246
1836,328115,18.72056088
1838,336691,91.009366
1840,75108,87.603709
1843,342633,20.1249538
1849,237651,82.0048585
1853,221784,88.865322
1858,12017,12.761252731
1860,370516,24.8039227
1862,282377,7.909074021
1863,292177,84.79725652
1864,133901,91.5500584308574
1874,139984,4.384047271
1876,334953,28.0574347
1877,236003,11.40367193
1879,63430,19.5257450755443
1880,350500,41.2400046
1884,50637,72.944181456
1886,342979,22.463268157
1887,349440,37.670507425
1897,140096,86.028449
1899,177687,10.69211322
1903,64361,77.89466439
1905,363082,13.896469742
1912,363778,55.731001165
1913,64071,35.1589818
1916,140870,22.187073366
1919,132648,29.62099095
1920,370686,15.0644567
1929,106054,8.192293731
1930,271191,3.038170421
1934,354794,45.67086644
1937,320368,89.822655
1938,160830,33.174105
1939,293797,68.11073144
1940,268566,37.2749344
1942,212731,5.652682596
1943,257597,27.00179864
1945,189227,3.450126042
1949,290441,23.539969897
1952,306428,4.50107983
1954,173682,90.833817
1970,332495,29.53672941
1975,117469,19.5234053
1986,106208,79.512061
1990,91497,83.86333586
1998,361147,79.1328768
2013,340992,6.39935156
2016,330572,83.189228
2017,69635,4.80536498
2020,172297,0.390889439
2023,315849,77.7050803
2027,237263,9.08876374
2034,81963,11.7992433
2036,138142,0.170867826
2042,85231,3.672488156
2043,253326,13.27151513
2058,169049,23.0741802
2062,85678,61.44922191
2068,212466,30.1991348
2075,201374,86.17590545
2079,124170,8.48487609
2081,64198,90.077786
2098,134166,28.797079325
2103,291768,67.3453333
2104,372504,84.441483
2110,137339,67.9749739
2114,75070,83.4232986
2118,47989,33.1834701
2124,341570,17.1874302
2128,334173,45.5983041494949
2133,16691,57.488834151
2139,294458,90.55294
2140,208699,8.61127073
2143,56172,12.499098895
2145,238306,37.3849467
2147,578,5.13539782
2151,3469,12.213539455
2155,242196,24.623692
2158,292276,89.628382
2172,363199,90.471012
2175,252538,90.194812
2178,94532,4.93878228
2182,265600,8.124414366
2184,208970,17.68365021
2187,282073,78.152138497
2188,273001,89.778182
2190,42223,88.600826
2192,285231,66.867839891
2195,125650,91.784123
2196,294933,90.234608
2198,262902,14.5378092
2203,299861,89.930323
2210,271068,91.014048
2211,200270,83.357758
2219,172122,12.7799776
2221,376965,31.9359001
2229,236719,89.492623
2232,34065,17.482353812
2237,316186,88.708503
2238,59519,88.359745
2240,91502,88.378469
2252,288482,1.9076339
2253,105665,14.6173925
2258,238240,6.43212056
2259,128046,43.93409961
2264,339893,21.08930279
2272,311240,87.201117
2273,35777,8.498918711
2274,20689,8.58552376
2276,224368,4.646200566
2278,302198,21.65339997
2279,93994,8.9295997
2281,32525,91.454092
2285,364342,4.508101886
2295,230745,16.01242279
2297,11157,89.72903
2298,395100,35.1613247
