"acc_id","char_id","class","level","pledge_cnt","pledge_cnt_change","combat_cnt"
2,233598,1,0,0,0,0
8,257304,4,16,0.128368485244888,2,0.0262837504085981
17,135044,1,16,0,0,0.0485238469081811
20,149667,4,17,1.28368485244888,20,0.594417124625218
31,346526,1,17,0,0,0.602504432443248
38,67497,1,17,0,0,0.153658848542573
43,388134,6,16,0,0,0.00808730781803018
50,78995,7,0,0,0,0
53,60446,4,17,3.65850182947931,57,1.60330877492448
59,394351,7,2,0,0,0
62,369719,3,16,0.0641842426224441,1,0.237362484459186
65,270517,0,0,0,0,0
66,127862,3,16,0,0,0.109178655543407
67,267831,1,17,24.133275226039,376,0.311361350994162
69,350040,5,16,2.95247516063243,46,1.67811637224126
75,352821,6,16,0,0,0.00404365390901509
76,280717,3,6,0,0,0
77,22622,3,6,0,0,0
79,225036,1,2,0,0,0
81,297398,1,16,0,0,0.158511233233392
86,29793,7,0,0,0,0.00808730781803018
91,320252,2,17,0,0,0.0161746156360604
92,219750,3,16,0,0,0.291143081449087
97,120776,1,0,0,0,0.0323492312721207
98,205300,3,17,153.015234411907,2384,4.44640183835299
113,52943,3,17,0,0,0.101091347725377
119,136814,3,15,0,0,0.0808730781803018
129,148992,2,17,0,0,0.0485238469081811
137,345689,1,2,0,0,0
145,168571,4,16,0,0,0.0121309617270453
149,248148,3,14,0.706026668846885,11,0.169833464178634
154,142043,3,15,16.7520873244579,261,0.529718662080977
155,89374,3,16,0,0,0.630810009806354
161,169821,2,16,0,0,0.0121309617270453
163,179915,7,16,0,0,0.113222309452423
172,277012,2,1,0,0,0.0161746156360604
173,247626,5,15,0,0,0.121309617270453
174,142049,5,16,0,0,0.0566111547262113
176,131026,3,13,0.192552727867332,3,0.4286273143556
181,182219,1,17,0,0,0.0242619234540905
186,10418,1,17,0,0,0.137484232906513
203,145563,1,16,0.128368485244888,2,0.0566111547262113
204,199625,3,16,0,0,0.0485238469081811
207,149549,6,13,0.192552727867332,3,0.165789810269619
209,267008,7,0,0,0,0
215,250024,0,0,0,0,0
216,368425,7,0,0,0,0
217,36613,3,17,3.08084364587732,48,0.125353271179468
223,296468,5,16,0,0,0.0283055773631056
226,126508,7,16,0.385105455734664,6,0.044480192999166
232,69843,3,16,3.65850182947931,57,0.543467085371628
247,279134,1,16,12.002453370397,187,0.594417124625218
250,78425,3,16,0,0,0.0525675008171962
257,308364,3,16,0,0,0.0161746156360604
262,261572,1,16,0,0,0.0323492312721207
266,176799,3,16,0,0,0.748884703949595
273,268403,2,17,0.192552727867332,3,0.044480192999166
276,195617,0,16,0,0,0.0161746156360604
280,81092,1,0,0,0,0
283,359366,4,16,25.1602231079981,392,0.0808730781803018
284,331903,3,14,0,0,0
295,23533,2,16,0,0,0.0242619234540905
299,18003,7,0,0,0,0
309,262604,3,17,0.192552727867332,3,0.925996745164456
310,285881,1,17,16.4311661113457,256,0.141527886815528
311,357689,0,0,0,0,0
326,156952,0,0,0,0,0
328,58694,3,16,0,0,0.0161746156360604
334,333893,4,16,0,0,0.0121309617270453
335,29166,6,17,0.0641842426224441,1,0.477151161263781
337,25065,1,11,0,0,0.00404365390901509
340,224319,3,16,0,0,0.177920771996664
341,285779,2,15,0,0,0.088960385998332
344,17411,7,2,0,0,0
347,312502,4,15,0,0,0.109178655543407
350,92896,1,17,6.73934547535663,105,0.133440578997498
352,263249,1,16,0.0641842426224441,1,0.105135001634392
358,361932,2,14,0,0,0.00808730781803018
362,195209,7,2,0,0,0
365,397111,4,15,0,0,0.00404365390901509
371,234977,1,16,0,0,0.0242619234540905
390,223300,4,16,0,0,0.00808730781803018
391,346391,3,17,0,0,0.0509500392535901
393,122788,7,2,0,0,0
396,77425,2,16,0,0,0
400,225417,7,0,0,0,0
403,61275,4,16,0,0,0.0121309617270453
404,279455,5,14,0,0,0
405,219467,1,2,0,0,0
409,29301,3,14,0,0,0
411,60979,1,15,0,0,0.00404365390901509
413,389632,5,16,0,0,0.311361350994162
423,342598,3,16,0,0,0.473107507354766
425,76823,7,16,1.15531636720399,18,0.0727857703622716
446,118751,0,4,0,0,0
456,393229,1,16,0.128368485244888,2,0.0202182695450755
458,37082,4,16,0,0,0.00808730781803018
462,268345,7,15,3.46594910161198,54,0.226444618904845
473,83190,3,16,0,0,0.0121309617270453
474,261589,1,16,0,0,0.0202182695450755
475,77017,2,14,5.32729213766286,83,0.307317697085147
476,115356,1,0,0,0,0
484,213270,7,16,0,0,0.00404365390901509
487,342760,4,16,0,0,0
488,383888,1,17,0.0641842426224441,1,0.0323492312721207
492,226981,1,0,0,0,0.00404365390901509
494,36688,1,16,0,0,0.0161746156360604
510,268018,4,17,0,0,0.121309617270453
523,242955,2,16,0,0,0.295186735358102
526,341038,6,17,0,0,0.0606548086352264
527,165554,7,2,0,0,0
528,208323,4,16,0,0,0.125353271179468
532,303675,2,17,0.898579396714217,14,1.05943732416195
538,300207,4,17,76.7001699338207,1195,0.43671462217363
541,43839,7,17,1.34786909507133,21,0.0485238469081811
542,80435,7,1,0,0,0
546,263905,2,16,0,0,0.0849167320893169
550,82328,1,1,0,0,0
555,355148,7,16,54.0431322880979,842,1.21309617270453
556,290726,7,17,1.21950060982644,19,0.0970476938163622
561,57728,4,17,0,0,0.0525675008171962
562,128194,1,16,6.35424001962196,99,0.30003912004892
563,342836,2,17,23.4272485571921,365,0.529718662080977
571,178596,4,16,0,0,0
574,51601,1,2,0,0,0.00404365390901509
582,171175,1,16,0,0,0.00404365390901509
597,23411,7,15,4.17197577045887,65,0.537805969899007
598,6444,7,2,0,0,0
606,32939,1,17,0.128368485244888,2,0.0525675008171962
611,110818,1,16,0,0,0.0363928851811358
619,290981,1,17,0.0641842426224441,1,1.74685848869452
623,214488,7,15,0.256736970489776,4,0.088960385998332
625,226822,2,16,0.128368485244888,2,0.226444618904845
632,103130,4,14,0,0,0.0121309617270453
633,137044,1,17,0,0,0.0323492312721207
635,346021,3,16,0,0,0.0970476938163622
636,32547,1,1,0,0,0
637,204041,1,16,0,0,0.0606548086352264
644,182658,2,14,0.0641842426224441,1,0.00808730781803018
648,1206,0,5,0,0,0
652,230120,3,16,0,0,0.00808730781803018
656,283297,1,17,1.15531636720399,18,0.161746156360604
661,105801,7,17,0,0,0.723814049713701
663,191582,4,14,0,0,0.0121309617270453
665,275402,1,2,0,0,0
667,304546,7,0,0,0,0
668,263114,1,16,0.0641842426224441,1,0.0465020199536735
674,261646,5,17,0,0,0.0323492312721207
677,127116,5,15,1.34786909507133,21,0.617061586515703
678,383916,7,0,0,0,0
687,123574,2,17,105.005420930319,1636,1.81479187436597
691,395564,0,16,0,0,0.113222309452423
695,356968,6,17,30.5516994882834,476,1.93165347233651
696,319184,1,16,0,0,0.088960385998332
697,43957,5,16,0,0,0.0849167320893169
698,393427,1,0,0,0,0.113222309452423
699,309150,1,2,0,0,0
701,19268,1,17,22.2719321899881,347,1.80346964342073
705,91391,2,16,0.0641842426224441,1,0.156893771669786
710,289521,5,16,0,0,1.00808291951746
711,266218,0,2,0,0,0
712,170844,1,16,31.3860946423752,489,0.909822129528395
714,238066,4,17,69.8324559732192,1088,0.67529020280552
722,331329,4,17,2.1822642491631,34,0.113222309452423
729,316275,2,17,0,0,0.0727857703622716
730,66525,4,16,0,0,0.475533699700175
731,24310,2,16,0,0,0.307317697085147
735,254568,1,17,0,0,0.772337896621882
736,386071,1,14,0,0,0
737,281366,7,0,0,0,0
745,299097,5,16,0,0,0.0687421164532565
748,38381,3,16,0,0,0.986651553799682
753,370740,3,16,0,0,0.145571540724543
758,249045,2,16,0,0,0.0121309617270453
762,14175,2,16,0,0,1.16457232579635
768,89444,3,17,0,0,1.41689632971889
